,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
4567,sphere,13.7,0.0001664569416657393,0.0018809999999999999,0.0020695600000000002,1.9319431491023222e-11,3.4818790909576606e-07,1.9319431491023222e-11,0.9,911,500
4568,film,13.7,2.049830970785268e-05,0.002486,0.00077958,3.607802548701745e-14,1.889250598259005e-08,3.607802548701745e-14,0.19762477975121612,857,500
4569,fiber,13.7,2.249190339512039e-05,1.6e-05,0.00449359,4.7661448584736425e-14,1.5010988549826567e-08,4.7661448584736425e-14,0.5035568979851164,958,500
4570,sphere,13.7,0.00017385303851608438,0.012496,0.00724694,2.2010781657463784e-11,3.798170313041853e-07,2.2010781657463784e-11,0.9,915,500
4571,film,13.7,0.00011361112065736609,0.004434,0.00054606,6.142584513660646e-12,2.2780338486196437e-07,6.142584513660646e-12,0.5034732265560651,850,500
4572,sphere,13.7,7.642653420637147e-05,0.0030889999999999997,0.00938982,1.86991173096893e-12,7.340036089768313e-08,1.86991173096893e-12,0.9,936,500
4573,sphere,13.7,7.047814486755121e-05,0.010391,0.00579399,1.4663984785089527e-12,6.241928535142656e-08,1.4663984785089527e-12,0.8,969,500
4574,film,13.7,3.266706030817154e-05,0.004685,0.00054381,1.4602216129176408e-13,3.2126181767252655e-08,1.4602216129176408e-13,0.29515888600661133,920,500
4575,fiber,13.7,0.00020473691074485975,0.000143,0.00409848,3.594819155488437e-11,1.2597063201242365e-06,3.594819155488437e-11,0.4950006543411192,973,500
4576,sphere,13.7,1.2581705355483623e-05,0.0061329999999999996,0.00356564,8.342709870554789e-15,1.9892477930868158e-09,8.342709870554789e-15,0.9,922,500
4577,sphere,13.7,0.00016505946026877023,0.006424999999999999,0.00199886,1.883691904414454e-11,3.4236606033011263e-07,1.883691904414454e-11,0.9,981,500
4578,sphere,13.7,0.00040925121199233874,0.002705,0.00573741,2.871167517513933e-10,2.1046981169851848e-06,2.871167517513933e-10,0.8,865,500
4579,film,13.7,2.2437908906429702e-05,0.011661,5.561e-05,4.731902101526635e-14,7.452232859301156e-09,4.731902101526635e-14,0.6003067275613231,888,500
4580,film,13.7,0.00018512784121138144,0.00894,0.00043526000000000003,2.6576869247798838e-11,5.033882702592138e-07,2.6576869247798838e-11,0.6049719632934467,933,500
4581,film,13.7,0.00015265831345307682,0.010041999999999999,0.00567509,1.4902186334792367e-11,1.0361512277821565e-06,1.4902186334792367e-11,0.1998539058576835,893,500
4582,fiber,13.7,5.680563619348438e-06,6.5e-05,0.00287274,7.67826140534353e-16,8.39192257836564e-10,7.67826140534353e-16,0.20314115720064196,982,500
4583,fiber,13.7,0.00034300785864543876,0.002696,0.00757628,1.690444123815447e-10,2.643932195163086e-06,1.690444123815447e-10,0.30489401001332855,980,500
4584,film,13.7,2.9978821877866067e-05,0.0030199999999999997,0.00025637,1.1285798565632228e-13,1.9948410218230187e-08,1.1285798565632228e-13,0.40032775326969827,952,500
4585,fiber,13.7,6.154713517226991e-05,0.000484,0.00553524,9.765896951300792e-13,8.514069153034702e-08,9.765896951300792e-13,0.30473325711947885,940,500
4586,sphere,13.7,2.6068700548516544e-05,0.0019619999999999998,0.00991052,7.420732205643422e-14,8.53981830643918e-09,7.420732205643422e-14,0.9,923,500
4587,film,13.7,0.00021539317980801248,0.005797999999999999,0.00342513,4.1858576249900695e-11,1.3666990691082528e-06,4.1858576249900695e-11,0.3016378683535951,916,500
4588,fiber,13.7,0.00017050431167432023,7.599999999999999e-05,0.00572278,2.0763220052793864e-11,1.2336193503620617e-06,2.0763220052793864e-11,0.29962593787223024,921,500
4589,fiber,13.7,6.237364406355606e-05,0.000287,0.0060022700000000005,1.0164639071417766e-12,7.471363728246954e-08,1.0164639071417766e-12,0.5022581877228985,948,500
